"","w","x","y","slide.no"
"1",NA,5.52021,5.47155,"slide1"
"2",NA,5.06713,3.10426,"slide1"
"3",NA,3.16562,3.36531,"slide1"
"4",NA,1.9131,2.24462,"slide1"
"5",NA,5.9501,2.26286,"slide1"
"6",NA,3.39683,4.28819,"slide1"
"7",NA,2.12481,3.1612,"slide1"
"8",NA,4.19006,3.1582,"slide1"
"9",NA,3.17586,5.67528,"slide1"
"10",NA,4.02505,5.0187,"slide1"
"11",NA,3.21331,2.29831,"slide1"
"12",NA,5.38814,4.53857,"slide1"
"13",NA,1.89914,5.19982,"slide1"
"14",NA,3.50073,4.85568,"slide1"
"15",NA,5.43058,3.34797,"slide1"
"16",NA,3.51835,5.84593,"slide1"
"17",NA,2.05568,3.64204,"slide1"
"18",NA,2.56336,4.14641,"slide1"
"19",NA,4.56881,2.63817,"slide1"
"20",NA,3.70469,3.82079,"slide1"
"21",NA,3.91497,3.95238,"slide1"
"22",NA,4.25161,2.27778,"slide1"
"23",NA,2.06946,3.16267,"slide1"
"24",NA,4.63918,3.18893,"slide1"
"25",NA,5.7117,1.60018,"slide1"
"26",NA,3.99091,5.94862,"slide1"
"27",NA,2.63377,2.50765,"slide1"
"28",NA,3.41832,4.38688,"slide1"
"29",NA,2.96556,3.92102,"slide1"
"30",NA,3.81656,4.35251,"slide1"
"31",NA,2.10108,4.9959,"slide1"
"32",NA,4.6689,3.99065,"slide1"
"33",NA,4.55973,3.03481,"slide1"
"34",NA,2.85215,1.94997,"slide1"
"35",NA,3.11209,5.52715,"slide1"
"36",NA,5.00977,3.81172,"slide1"
"37",NA,4.42523,2.84788,"slide1"
"38",NA,3.87996,4.60872,"slide1"
"39",NA,1.25917,1.75215,"slide1"
"40",NA,1.75892,3.1893,"slide1"
"41",NA,4.24866,4.86549,"slide1"
"42",NA,1.3131,2.39324,"slide1"
"43",NA,3.14914,2.81666,"slide1"
"44",NA,5.80619,4.85599,"slide1"
"45",NA,1.30899,2.28042,"slide1"
"46",NA,3.96734,3.43466,"slide1"
"47",NA,1.22012,2.68113,"slide1"
"48",NA,3.46367,3.48596,"slide1"
"49",NA,4.48598,4.01198,"slide1"
"50",NA,1.91268,3.57452,"slide1"
"51",NA,2.83856,5.9958,"slide1"
"52",NA,4.12834,3.71387,"slide1"
"53",NA,3.45754,4.06019,"slide1"
"54",NA,2.60151,2.9402,"slide1"
"55",NA,2.89893,5.62479,"slide1"
"56",NA,5.75255,4.11077,"slide1"
"57",NA,1.12023,1.88307,"slide1"
"58",NA,4.81337,3.75579,"slide1"
"59",NA,4.42957,3.04165,"slide1"
"60",NA,1.73265,3.14631,"slide1"
"61",NA,5.95726,2.20798,"slide1"
"62",NA,3.38732,3.58007,"slide1"
"63",NA,3.53354,3.14443,"slide1"
"64",NA,3.66112,4.93595,"slide1"
"65",NA,5.64187,3.74647,"slide1"
"66",NA,2.61135,4.80589,"slide1"
"67",NA,5.49613,3.38157,"slide1"
"68",NA,2.88881,1.84559,"slide1"
"69",NA,4.23143,5.30702,"slide1"
"70",NA,3.59323,1.49435,"slide1"
"71",NA,2.29152,0.7323,"slide1"
"72",NA,5.3995,2.97491,"slide1"
"73",NA,2.93879,3.93627,"slide1"
"74",NA,5.7274,3.51182,"slide1"
"75",NA,2.60691,3.93076,"slide1"
"76",NA,3.13101,3.94461,"slide1"
"77",NA,1.24282,0.18109,"slide1"
"78",NA,4.6559,4.06217,"slide1"
"79",NA,3.31458,2.90053,"slide1"
"80",NA,4.49612,2.98263,"slide1"
"81",NA,2.52741,2.32071,"slide1"
"82",NA,3.81186,2.96426,"slide1"
"83",NA,5.59137,4.09431,"slide1"
"84",NA,3.0315,5.06489,"slide1"
"85",NA,5.39122,4.22312,"slide1"
"86",NA,4.81914,3.11011,"slide1"
"87",NA,2.30474,2.16844,"slide1"
"88",NA,2.45126,2.93878,"slide1"
"89",NA,3.43294,5.48481,"slide1"
"90",NA,3.85379,5.01432,"slide1"
"91",NA,4.02393,3.40636,"slide1"
"92",NA,1.00685,0.99933,"slide1"
"93",NA,2.8095,3.46522,"slide1"
"94",NA,1.5024,0.62673,"slide1"
"95",NA,5.76721,2.768,"slide1"
"96",NA,3.4998,4.55384,"slide1"
"97",NA,1.74579,3.74028,"slide1"
"98",NA,5.7956,2.3887,"slide1"
"99",NA,4.3055,4.20925,"slide1"
"100",NA,1.81489,1.94456,"slide1"
"101",1,3.50669,7.5924,"slide2.3"
"102",0,3.42931,0.5046,"slide2.3"
"103",1,2.95467,5.3988,"slide2.3"
"104",1,2.62224,4.358,"slide2.3"
"105",0,1.58617,3.8514,"slide2.3"
"106",0,5.91873,-5.4569,"slide2.3"
"107",0,1.03159,3.557,"slide2.3"
"108",1,5.59771,8.4157,"slide2.3"
"109",0,3.88681,0.4448,"slide2.3"
"110",2,3.69882,7.2887,"slide2.3"
"111",1,4.92909,5.759,"slide2.3"
"112",1,3.63294,7.0953,"slide2.3"
"113",2,4.03211,9.6808,"slide2.3"
"114",2,1.55923,4.1557,"slide2.3"
"115",2,2.04277,5.3837,"slide2.3"
"116",1,1.52609,4.4301,"slide2.3"
"117",2,3.79744,9.1655,"slide2.3"
"118",0,1.06421,2.3714,"slide2.3"
"119",2,4.33326,7.9165,"slide2.3"
"120",1,3.67356,6.6397,"slide2.3"
"121",0,3.59489,0.7149,"slide2.3"
"122",2,4.68726,8.0452,"slide2.3"
"123",0,2.85055,1.6039,"slide2.3"
"124",2,5.56631,8.7614,"slide2.3"
"125",2,3.69998,9.0144,"slide2.3"
"126",0,2.40733,2.2814,"slide2.3"
"127",1,1.55316,4.0241,"slide2.3"
"128",2,3.60588,7.5637,"slide2.3"
"129",1,5.12531,6.2669,"slide2.3"
"130",2,5.70418,11.1567,"slide2.3"
"131",2,3.78951,8.1879,"slide2.3"
"132",2,4.86678,10.581,"slide2.3"
"133",2,4.64128,9.5251,"slide2.3"
"134",1,3.01923,5.0376,"slide2.3"
"135",0,1.21614,0.7809,"slide2.3"
"136",2,3.24737,8.0698,"slide2.3"
"137",0,3.88033,1.1201,"slide2.3"
"138",1,1.84503,5.3465,"slide2.3"
"139",0,4.5104,-1.8943,"slide2.3"
"140",0,1.18668,1.5271,"slide2.3"
"141",0,1.07519,1.607,"slide2.3"
"142",0,3.971,0.9026,"slide2.3"
"143",2,1.17477,4.0649,"slide2.3"
"144",2,3.39688,6.8959,"slide2.3"
"145",1,1.99514,3.7443,"slide2.3"
"146",2,3.1458,6.847,"slide2.3"
"147",0,4.11341,1.6761,"slide2.3"
"148",0,4.58864,-2.6699,"slide2.3"
"149",0,4.46474,-0.4279,"slide2.3"
"150",2,5.48734,9.5048,"slide2.3"
"151",2,1.45402,6.0898,"slide2.3"
"152",2,5.97474,9.0777,"slide2.3"
"153",1,1.01955,2.7676,"slide2.3"
"154",1,4.18309,7.3783,"slide2.3"
"155",2,1.38846,4.1691,"slide2.3"
"156",1,3.67387,4.9556,"slide2.3"
"157",0,4.97075,-2.6899,"slide2.3"
"158",1,1.52188,3.1939,"slide2.3"
"159",0,2.53219,1.3356,"slide2.3"
"160",1,4.84564,5.9445,"slide2.3"
"161",0,2.28304,1.7689,"slide2.3"
"162",0,5.64589,-6.0158,"slide2.3"
"163",0,1.666,1.0816,"slide2.3"
"164",0,1.15759,1.8286,"slide2.3"
"165",0,4.94699,-3.3145,"slide2.3"
"166",2,5.70571,9.0982,"slide2.3"
"167",2,5.92784,9.6477,"slide2.3"
"168",2,2.30205,5.5584,"slide2.3"
"169",1,3.43833,5.8176,"slide2.3"
"170",1,1.26111,2.8979,"slide2.3"
"171",1,1.60941,4.8518,"slide2.3"
"172",1,4.05174,6.4825,"slide2.3"
"173",2,1.10012,5.703,"slide2.3"
"174",0,4.0593,-0.1874,"slide2.3"
"175",2,5.19909,8.1398,"slide2.3"
"176",0,2.58322,1.3606,"slide2.3"
"177",1,5.86622,6.552,"slide2.3"
"178",1,2.34314,4.693,"slide2.3"
"179",2,3.34878,8.4158,"slide2.3"
"180",1,4.14684,6.3712,"slide2.3"
"181",1,3.0698,6.7913,"slide2.3"
"182",0,1.32712,2.5613,"slide2.3"
"183",0,5.42541,-1.9533,"slide2.3"
"184",2,3.59949,9.5257,"slide2.3"
"185",0,3.29965,1.3895,"slide2.3"
"186",1,4.94196,8.2496,"slide2.3"
"187",0,2.84417,0.5055,"slide2.3"
"188",1,3.33716,4.7215,"slide2.3"
"189",2,2.65191,6.6281,"slide2.3"
"190",0,2.64427,1.4815,"slide2.3"
"191",2,1.57226,5.6058,"slide2.3"
"192",1,3.70288,5.7175,"slide2.3"
"193",2,2.9877,7.8018,"slide2.3"
"194",0,1.13631,2.2814,"slide2.3"
"195",1,3.49137,7.1535,"slide2.3"
"196",1,4.26409,5.0721,"slide2.3"
"197",2,1.47545,4.2246,"slide2.3"
"198",0,1.00217,-0.2017,"slide2.3"
"199",2,5.30209,10.3361,"slide2.3"
"200",0,4.55987,-1.4862,"slide2.3"
"201",NA,3.47461,8.0264,"slide4"
"202",NA,1.39386,2.2737,"slide4"
"203",NA,1.78643,3.7823,"slide4"
"204",NA,4.65809,9.0429,"slide4"
"205",NA,2.69762,5.4599,"slide4"
"206",NA,1.8524,3.5339,"slide4"
"207",NA,1.91055,3.1861,"slide4"
"208",NA,1.92899,3.3416,"slide4"
"209",NA,3.23862,5.4728,"slide4"
"210",NA,3.07234,6.8538,"slide4"
"211",NA,2.76907,5.4856,"slide4"
"212",NA,1.69369,3.3702,"slide4"
"213",NA,1.89941,3.587,"slide4"
"214",NA,4.7644,12.6651,"slide4"
"215",NA,1.11961,3.018,"slide4"
"216",NA,3.62383,7.3055,"slide4"
"217",NA,5.66013,10.266,"slide4"
"218",NA,2.80984,6.4808,"slide4"
"219",NA,3.22304,6.9623,"slide4"
"220",NA,1.64542,2.5899,"slide4"
"221",NA,5.16477,10.2609,"slide4"
"222",NA,1.35482,3.933,"slide4"
"223",NA,5.27179,9.8308,"slide4"
"224",NA,4.24177,9.5308,"slide4"
"225",NA,1.9336,3.588,"slide4"
"226",NA,3.04822,5.6817,"slide4"
"227",NA,4.04358,9.4368,"slide4"
"228",NA,2.48415,6.4773,"slide4"
"229",NA,3.31285,8.6161,"slide4"
"230",NA,2.20898,3.7563,"slide4"
"231",NA,5.30067,10.3573,"slide4"
"232",NA,4.45491,9.8918,"slide4"
"233",NA,3.88939,8.2728,"slide4"
"234",NA,4.46596,9.1026,"slide4"
"235",NA,1.97744,1.9018,"slide4"
"236",NA,1.27574,3.3914,"slide4"
"237",NA,5.75229,11.5968,"slide4"
"238",NA,4.31012,8.9189,"slide4"
"239",NA,4.28103,9.1804,"slide4"
"240",NA,4.44876,8.4273,"slide4"
"241",NA,4.00499,8.2622,"slide4"
"242",NA,2.14159,3.4992,"slide4"
"243",NA,4.69485,8.5401,"slide4"
"244",NA,3.17224,6.9977,"slide4"
"245",NA,1.68794,3.8511,"slide4"
"246",NA,4.46135,8.0873,"slide4"
"247",NA,2.94212,4.3162,"slide4"
"248",NA,4.93272,9.4751,"slide4"
"249",NA,4.1825,9.2775,"slide4"
"250",NA,1.57311,4.3461,"slide4"
"251",NA,5.51259,9.4071,"slide4"
"252",NA,4.66133,8.278,"slide4"
"253",NA,4.44754,9.8244,"slide4"
"254",NA,5.61568,11.6957,"slide4"
"255",NA,3.02643,5.0999,"slide4"
"256",NA,1.29933,2.6288,"slide4"
"257",NA,5.61947,10.38,"slide4"
"258",NA,1.07677,3.2313,"slide4"
"259",NA,5.48357,10.4114,"slide4"
"260",NA,2.27713,3.4981,"slide4"
"261",NA,4.9084,9.9146,"slide4"
"262",NA,5.98233,11.8321,"slide4"
"263",NA,3.4628,6.5448,"slide4"
"264",NA,2.55989,5.1804,"slide4"
"265",NA,1.36857,2.4487,"slide4"
"266",NA,4.396,9.6813,"slide4"
"267",NA,1.99322,4.2225,"slide4"
"268",NA,2.72497,5.5353,"slide4"
"269",NA,4.35835,9.0126,"slide4"
"270",NA,2.90578,3.4153,"slide4"
"271",NA,4.87512,9.527,"slide4"
"272",NA,4.0843,8.8086,"slide4"
"273",NA,5.88963,13.5301,"slide4"
"274",NA,3.34764,7.7978,"slide4"
"275",NA,4.63817,9.2314,"slide4"
"276",NA,5.69054,12.2926,"slide4"
"277",NA,5.80878,11.0806,"slide4"
"278",NA,5.66816,12.528,"slide4"
"279",NA,3.66821,6.9491,"slide4"
"280",NA,2.1273,4.2965,"slide4"
"281",NA,2.32453,4.9692,"slide4"
"282",NA,4.51794,10.4372,"slide4"
"283",NA,1.32969,2.2075,"slide4"
"284",NA,2.00168,4.1841,"slide4"
"285",NA,3.05341,5.8866,"slide4"
"286",NA,5.24335,11.2833,"slide4"
"287",NA,3.80921,6.2137,"slide4"
"288",NA,4.85382,9.8683,"slide4"
"289",NA,4.32553,9.8455,"slide4"
"290",NA,2.65627,4.9648,"slide4"
"291",NA,1.94187,3.3617,"slide4"
"292",NA,4.45699,10.008,"slide4"
"293",NA,5.03644,10.5493,"slide4"
"294",NA,3.00826,7.2296,"slide4"
"295",NA,2.79967,4.8048,"slide4"
"296",NA,2.93935,5.8389,"slide4"
"297",NA,1.75399,2.9474,"slide4"
"298",NA,4.47738,9.3196,"slide4"
"299",NA,1.72746,4.1194,"slide4"
"300",NA,4.08953,8.87,"slide4"
"301",0,4.77579,8.7486,"slide5"
"302",1,3.02965,6.3918,"slide5"
"303",2,3.32401,8.3375,"slide5"
"304",0,3.85324,6.4496,"slide5"
"305",0,1.53755,2.9065,"slide5"
"306",1,1.96473,5.5994,"slide5"
"307",1,5.5318,12.1552,"slide5"
"308",1,3.48405,6.5982,"slide5"
"309",1,2.09976,5.2846,"slide5"
"310",2,3.97557,9.9988,"slide5"
"311",0,2.90271,6.4814,"slide5"
"312",2,3.93413,10.5619,"slide5"
"313",1,2.14894,4.5097,"slide5"
"314",1,5.84854,13.7709,"slide5"
"315",2,2.52702,7.5194,"slide5"
"316",2,2.4328,6.7439,"slide5"
"317",1,5.57265,13.9967,"slide5"
"318",2,2.67307,9.1462,"slide5"
"319",2,1.51209,5.0134,"slide5"
"320",2,4.27353,10.8707,"slide5"
"321",2,4.54934,11.0094,"slide5"
"322",2,1.12043,4.8191,"slide5"
"323",2,3.24757,10.0903,"slide5"
"324",0,5.48011,11.7623,"slide5"
"325",1,1.87794,4.9815,"slide5"
"326",2,5.53771,13.6519,"slide5"
"327",2,2.01705,5.6383,"slide5"
"328",2,2.18305,6.1784,"slide5"
"329",2,5.02216,11.5198,"slide5"
"330",1,5.26554,11.3311,"slide5"
"331",0,3.39012,8.36,"slide5"
"332",0,5.75096,11.3003,"slide5"
"333",1,5.11217,12.0055,"slide5"
"334",2,5.478,12.3823,"slide5"
"335",1,3.06126,7.1849,"slide5"
"336",1,4.83571,10.8192,"slide5"
"337",2,2.91819,7.4404,"slide5"
"338",2,4.33443,8.759,"slide5"
"339",0,2.85784,4.1367,"slide5"
"340",1,5.65354,13.3939,"slide5"
"341",2,1.22703,4.6918,"slide5"
"342",2,4.81218,11.3011,"slide5"
"343",0,3.8908,8.2155,"slide5"
"344",0,2.84358,5.1806,"slide5"
"345",0,3.97796,8.398,"slide5"
"346",0,4.92416,10.779,"slide5"
"347",0,5.0613,10.7756,"slide5"
"348",2,1.87464,4.7487,"slide5"
"349",1,4.2169,9.0243,"slide5"
"350",1,2.10894,5.3927,"slide5"
"351",2,1.47055,4.4036,"slide5"
"352",0,3.3888,6.4589,"slide5"
"353",0,3.01304,6.474,"slide5"
"354",1,3.6611,6.3532,"slide5"
"355",1,4.69047,11.7193,"slide5"
"356",1,5.4211,11.4817,"slide5"
"357",1,4.13712,8.728,"slide5"
"358",0,2.33201,5.0029,"slide5"
"359",2,5.63208,13.7313,"slide5"
"360",0,5.39248,12.469,"slide5"
"361",1,2.90419,7.2636,"slide5"
"362",0,4.71359,8.3153,"slide5"
"363",2,4.2574,9.6393,"slide5"
"364",2,1.49941,5.7403,"slide5"
"365",2,3.10656,7.8892,"slide5"
"366",2,2.59477,5.2678,"slide5"
"367",1,4.84317,10.0326,"slide5"
"368",0,2.99488,4.8816,"slide5"
"369",0,4.08906,8.2545,"slide5"
"370",0,1.95325,3.3469,"slide5"
"371",2,4.82742,12.1008,"slide5"
"372",2,4.14914,10.6693,"slide5"
"373",1,1.27571,2.9429,"slide5"
"374",1,4.97223,11.8151,"slide5"
"375",1,3.39943,7.8397,"slide5"
"376",2,1.65722,5.9592,"slide5"
"377",0,4.28385,9.7094,"slide5"
"378",2,3.67183,10.7089,"slide5"
"379",2,4.40876,11.7965,"slide5"
"380",0,3.87633,7.1479,"slide5"
"381",2,5.00096,10.9613,"slide5"
"382",2,2.36389,7.2238,"slide5"
"383",1,2.60969,5.9446,"slide5"
"384",2,4.87236,12.3328,"slide5"
"385",2,5.2458,12.0093,"slide5"
"386",1,3.82368,7.6459,"slide5"
"387",2,3.71731,9.4121,"slide5"
"388",0,3.72535,5.1407,"slide5"
"389",1,2.22855,4.1153,"slide5"
"390",0,5.94028,11.0779,"slide5"
"391",0,4.88696,8.7184,"slide5"
"392",0,1.15589,1.8045,"slide5"
"393",2,3.46168,9.4597,"slide5"
"394",0,3.93302,8.2068,"slide5"
"395",0,2.00407,5.3598,"slide5"
"396",0,3.3896,8.9819,"slide5"
"397",1,3.08657,7.9882,"slide5"
"398",0,2.40111,4.3975,"slide5"
"399",0,4.72863,9.2683,"slide5"
"400",2,1.43484,4.6921,"slide5"
